text,category
General service request from Lecture Hall 2,other
WiFi is not working in Science Block,wifi
Emergency exit blocked near Library,safety
Bathroom drain is blocked in Block B,plumbing
Internet connection is unstable in Block B,wifi
Furniture arrangement problem in Main Building,other
Power outage in Business Block,electrical
Security guard missing at Engineering Block gate,safety
Water is leaking from the ceiling in Canteen,plumbing
Security guard missing at Laboratory gate,safety
Water is leaking from the ceiling in Computer Lab,plumbing
Emergency exit blocked near Business Block,safety
Security concern reported near Canteen,safety
Room maintenance issue reported in Computer Lab,hostel
Hostel gate closes too early at Boys Hostel,hostel
Pest problem found in Reading Room room,hostel
No network connectivity in Student Center hostel room,wifi
Short circuit smell near Hostel 1,electrical
Socket is damaged near Girls Hostel,electrical
Power outage in Student Center,electrical
Short circuit smell near Hostel 2,electrical
Power outage in Block C,electrical
Socket is damaged near Library,electrical
Notice board is outdated at Auditorium,other
Poor lighting and unsafe path near Girls Hostel,safety
Furniture arrangement problem in Block C,other
Slow internet speed in Reading Room computer lab,wifi
Washroom flooding in Hostel 2 area,plumbing
Short circuit smell near Block C,electrical
Water is leaking from the ceiling in Medical Center,plumbing
Slow internet speed in Block C computer lab,wifi
Library book request issue from Sports Complex,other
WiFi is not working in Engineering Block,wifi
Unable to connect to campus internet in Block C,wifi
Furniture damaged in Engineering Block hostel room,hostel
WiFi signal is weak near Lecture Hall 2,wifi
Hostel room cleanliness issue in Engineering Block,hostel
Water is leaking from the ceiling in Block C,plumbing
Main switch issue reported at Business Block,electrical
No network connectivity in Student Center hostel room,wifi
Slow internet speed in Laboratory computer lab,wifi
Mess food quality problem at Main Building,hostel
Unsafe wiring exposed near Block C,safety
Unsafe wiring exposed near Hostel 1,safety
Internet connection is unstable in Engineering Block,wifi
Water is leaking from the ceiling in Block C,plumbing
Short circuit smell near Business Block,electrical
Slow internet speed in Reading Room computer lab,wifi
Security concern reported near Business Block,safety
Toilet is not flushing in Auditorium,plumbing
Mess food quality problem at Laboratory,hostel
Light is not working in Boys Hostel,electrical
Room maintenance issue reported in Girls Hostel,hostel
WiFi signal is weak near Sports Complex,wifi
Fire extinguisher missing in Block A block,safety
Electrical spark seen near Engineering Block,electrical
General service request from Business Block,other
Fan stopped working in Laboratory room,electrical
WiFi signal is weak near Block B,wifi
Main switch issue reported at Block C,electrical
Router issue near Science Block with no internet access,wifi
Light is not working in Hostel 1,electrical
Electrical spark seen near Block D,electrical
Unable to connect to campus internet in Medical Center,wifi
Fan stopped working in Workshop room,electrical
Furniture damaged in Medical Center hostel room,hostel
Canal or drainage complaint around Computer Lab,other
Tap is broken in Reading Room corridor,plumbing
Fire extinguisher missing in Student Center block,safety
WiFi is not working in Engineering Block,wifi
General service request from Auditorium,other
Main switch issue reported at Medical Center,electrical
Fire extinguisher missing in Block C block,safety
Slow internet speed in Main Building computer lab,wifi
Internet connection is unstable in Lecture Hall 1,wifi
Hostel gate closes too early at Lecture Hall 2,hostel
Security guard missing at Girls Hostel gate,safety
Toilet is not flushing in Laboratory,plumbing
Electrical spark seen near Science Block,electrical
Parking issue near Boys Hostel,other
Fire extinguisher missing in Hostel 1 block,safety
WiFi signal is weak near Canteen,wifi
Noise disturbance in Computer Lab hostel at night,hostel
Internet connection is unstable in Computer Lab,wifi
Electrical spark seen near Library,electrical
Poor lighting and unsafe path near Sports Complex,safety
Furniture damaged in Block A hostel room,hostel
Poor lighting and unsafe path near Block D,safety
Light is not working in Auditorium,electrical
The campus WiFi keeps disconnecting in Medical Center,wifi
Parking issue near Lecture Hall 2,other
Hostel gate closes too early at Block D,hostel
Fire extinguisher missing in Main Building block,safety
Mess food quality problem at Sports Complex,hostel
Tap is broken in Reading Room corridor,plumbing
Security guard missing at Block B gate,safety
Bathroom drain is blocked in Sports Complex,plumbing
Room maintenance issue reported in Block C,hostel
CCTV not working at Reading Room,safety
Pest problem found in Parking Area room,hostel
Furniture arrangement problem in Hostel 2,other
Main switch issue reported at Student Center,electrical
Furniture damaged in Canteen hostel room,hostel
Mess food quality problem at Hostel 2,hostel
Power outage in Lecture Hall 2,electrical
Main switch issue reported at Auditorium,electrical
Hostel gate closes too early at Hostel 2,hostel
General service request from Block C,other
Furniture arrangement problem in Lecture Hall 2,other
Internet connection is unstable in Laboratory,wifi
Socket is damaged near Business Block,electrical
The campus WiFi keeps disconnecting in Workshop,wifi
Tap is broken in Engineering Block corridor,plumbing
Pipe burst near Hostel 2 building,plumbing
Pest problem found in Block D room,hostel
Power outage in Administrative Block,electrical
Security concern reported near Business Block,safety
Security guard missing at Sports Complex gate,safety
Internet connection is unstable in Block B,wifi
General service request from Hostel 1,other
Water leakage in Block C washroom,plumbing
Unsafe wiring exposed near Block B,safety
Poor lighting and unsafe path near Parking Area,safety
Socket is damaged near Lecture Hall 1,electrical
Furniture damaged in Block A hostel room,hostel
CCTV not working at Science Block,safety
No network connectivity in Student Center hostel room,wifi
Tap is broken in Science Block corridor,plumbing
AC is not cooling in Administrative Block,electrical
WiFi signal is weak near Science Block,wifi
Mess food quality problem at Science Block,hostel
The campus WiFi keeps disconnecting in Computer Lab,wifi
Canal or drainage complaint around Computer Lab,other
Hostel room cleanliness issue in Block C,hostel
AC is not cooling in Boys Hostel,electrical
Hostel gate closes too early at Block D,hostel
Security guard missing at Hostel 1 gate,safety
Unable to connect to campus internet in Lecture Hall 1,wifi
Laundry service delay at Administrative Block,hostel
Canal or drainage complaint around Auditorium,other
Hostel gate closes too early at Block A,hostel
No water supply in Parking Area hostel block,plumbing
Pipe burst near Lecture Hall 1 building,plumbing
Pipe burst near Student Center building,plumbing
Campus signage missing near Sports Complex,other
Power outage in Student Center,electrical
Bathroom drain is blocked in Administrative Block,plumbing
Socket is damaged near Block D,electrical
Tap is broken in Computer Lab corridor,plumbing
WiFi is not working in Block C,wifi
Water is leaking from the ceiling in Auditorium,plumbing
Pipe burst near Student Center building,plumbing
Parking issue near Business Block,other
Router issue near Block B with no internet access,wifi
Toilet is not flushing in Computer Lab,plumbing
Slow internet speed in Workshop computer lab,wifi
Campus signage missing near Sports Complex,other
Main switch issue reported at Auditorium,electrical
Slow internet speed in Hostel 1 computer lab,wifi
Toilet is not flushing in Hostel 1,plumbing
Main switch issue reported at Reading Room,electrical
Short circuit smell near Business Block,electrical
Emergency exit blocked near Girls Hostel,safety
Main switch issue reported at Block C,electrical
Laundry service delay at Administrative Block,hostel
Security guard missing at Computer Lab gate,safety
Mess food quality problem at Engineering Block,hostel
Campus signage missing near Boys Hostel,other
Canal or drainage complaint around Hostel 2,other
CCTV not working at Reading Room,safety
Hostel gate closes too early at Science Block,hostel
General maintenance request for Girls Hostel,other
General maintenance request for Lecture Hall 1,other
Emergency exit blocked near Girls Hostel,safety
Tap is broken in Workshop corridor,plumbing
Poor lighting and unsafe path near Administrative Block,safety
The campus WiFi keeps disconnecting in Business Block,wifi
Parking issue near Administrative Block,other
Security guard missing at Parking Area gate,safety
No water supply in Main Building hostel block,plumbing
Room maintenance issue reported in Block C,hostel
Electrical spark seen near Laboratory,electrical
Security guard missing at Boys Hostel gate,safety
Internet connection is unstable in Block C,wifi
Notice board is outdated at Auditorium,other
Internet connection is unstable in Block D,wifi
Unsafe wiring exposed near Science Block,safety
Toilet is not flushing in Laboratory,plumbing
Washroom flooding in Engineering Block area,plumbing
Power outage in Canteen,electrical
AC is not cooling in Block B,electrical
CCTV not working at Block D,safety
WiFi is not working in Workshop,wifi
Library book request issue from Computer Lab,other
Short circuit smell near Block A,electrical
Light is not working in Laboratory,electrical
Room maintenance issue reported in Girls Hostel,hostel
Pest problem found in Lecture Hall 2 room,hostel
Main switch issue reported at Sports Complex,electrical
Bathroom drain is blocked in Hostel 1,plumbing
Pipe burst near Lecture Hall 1 building,plumbing
Router issue near Hostel 2 with no internet access,wifi
Hostel gate closes too early at Lecture Hall 1,hostel
Laundry service delay at Science Block,hostel
Tap is broken in Parking Area corridor,plumbing
Router issue near Business Block with no internet access,wifi
Canal or drainage complaint around Workshop,other
Security concern reported near Computer Lab,safety
Tap is broken in Business Block corridor,plumbing
Security guard missing at Sports Complex gate,safety
Unsafe wiring exposed near Lecture Hall 2,safety
Bathroom drain is blocked in Library,plumbing
Short circuit smell near Lecture Hall 1,electrical
Unsafe wiring exposed near Sports Complex,safety
Fan stopped working in Computer Lab room,electrical
Poor lighting and unsafe path near Block C,safety
No network connectivity in Sports Complex hostel room,wifi
Furniture arrangement problem in Sports Complex,other
Bathroom drain is blocked in Lecture Hall 2,plumbing
Library book request issue from Block B,other
Canal or drainage complaint around Reading Room,other
Socket is damaged near Computer Lab,electrical
The campus WiFi keeps disconnecting in Hostel 2,wifi
Library book request issue from Lecture Hall 2,other
Furniture arrangement problem in Sports Complex,other
General service request from Administrative Block,other
CCTV not working at Hostel 1,safety
Poor lighting and unsafe path near Science Block,safety
CCTV not working at Science Block,safety
Noise disturbance in Library hostel at night,hostel
Tap is broken in Block C corridor,plumbing
Furniture damaged in Library hostel room,hostel
Laundry service delay at Workshop,hostel
Unable to connect to campus internet in Block C,wifi
Security concern reported near Administrative Block,safety
Furniture arrangement problem in Library,other
Router issue near Main Building with no internet access,wifi
Hostel gate closes too early at Engineering Block,hostel
Bathroom drain is blocked in Boys Hostel,plumbing
Water leakage in Science Block washroom,plumbing
Canal or drainage complaint around Administrative Block,other
Security concern reported near Auditorium,safety
Tap is broken in Lecture Hall 2 corridor,plumbing
Noise disturbance in Hostel 2 hostel at night,hostel
Power outage in Computer Lab,electrical
Main switch issue reported at Block D,electrical
Unsafe wiring exposed near Block C,safety
General maintenance request for Canteen,other
General service request from Canteen,other
Furniture damaged in Auditorium hostel room,hostel
Power outage in Main Building,electrical
The campus WiFi keeps disconnecting in Engineering Block,wifi
General maintenance request for Hostel 1,other
Hostel gate closes too early at Parking Area,hostel
WiFi signal is weak near Block B,wifi
Canal or drainage complaint around Lecture Hall 1,other
Security concern reported near Block D,safety
Laundry service delay at Block D,hostel
Canal or drainage complaint around Main Building,other
Power outage in Canteen,electrical
Fire extinguisher missing in Block D block,safety
No water supply in Auditorium hostel block,plumbing
Main switch issue reported at Girls Hostel,electrical
WiFi is not working in Lecture Hall 1,wifi
Unable to connect to campus internet in Workshop,wifi
Water is leaking from the ceiling in Lecture Hall 2,plumbing
Room maintenance issue reported in Student Center,hostel
Water is leaking from the ceiling in Laboratory,plumbing
General maintenance request for Reading Room,other
Canal or drainage complaint around Engineering Block,other
Noise disturbance in Medical Center hostel at night,hostel
Router issue near Lecture Hall 1 with no internet access,wifi
Tap is broken in Engineering Block corridor,plumbing
Bathroom drain is blocked in Medical Center,plumbing
Furniture damaged in Lecture Hall 1 hostel room,hostel
Fire extinguisher missing in Student Center block,safety
Room maintenance issue reported in Block C,hostel
The campus WiFi keeps disconnecting in Science Block,wifi
WiFi signal is weak near Business Block,wifi
Washroom flooding in Main Building area,plumbing
Laundry service delay at Library,hostel
Pest problem found in Lecture Hall 2 room,hostel
Notice board is outdated at Hostel 2,other
No water supply in Block D hostel block,plumbing
Noise disturbance in Hostel 1 hostel at night,hostel
Emergency exit blocked near Student Center,safety
Toilet is not flushing in Reading Room,plumbing
Water leakage in Engineering Block washroom,plumbing
Fan stopped working in Girls Hostel room,electrical
CCTV not working at Canteen,safety
Bathroom drain is blocked in Hostel 1,plumbing
Pest problem found in Laboratory room,hostel
Light is not working in Lecture Hall 2,electrical
Canal or drainage complaint around Auditorium,other
Library book request issue from Workshop,other
Slow internet speed in Computer Lab computer lab,wifi
Broken staircase railing near Student Center,safety
Notice board is outdated at Block C,other
Pipe burst near Main Building building,plumbing
WiFi is not working in Block D,wifi
Hostel gate closes too early at Reading Room,hostel
Tap is broken in Laboratory corridor,plumbing
Noise disturbance in Main Building hostel at night,hostel
Poor lighting and unsafe path near Main Building,safety
Security guard missing at Sports Complex gate,safety
Toilet is not flushing in Lecture Hall 2,plumbing
Furniture damaged in Science Block hostel room,hostel
Hostel gate closes too early at Business Block,hostel
Laundry service delay at Student Center,hostel
Furniture arrangement problem in Lecture Hall 1,other
Hostel room cleanliness issue in Main Building,hostel
Parking issue near Library,other
General service request from Student Center,other
Mess food quality problem at Auditorium,hostel
Furniture damaged in Computer Lab hostel room,hostel
Fan stopped working in Parking Area room,electrical
Noise disturbance in Block B hostel at night,hostel
Hostel room cleanliness issue in Lecture Hall 2,hostel
AC is not cooling in Boys Hostel,electrical
Socket is damaged near Boys Hostel,electrical
Parking issue near Girls Hostel,other
Hostel room cleanliness issue in Boys Hostel,hostel
CCTV not working at Engineering Block,safety
Hostel room cleanliness issue in Lecture Hall 2,hostel
Canal or drainage complaint around Sports Complex,other
Tap is broken in Parking Area corridor,plumbing
Library book request issue from Main Building,other
Fire extinguisher missing in Computer Lab block,safety
General maintenance request for Workshop,other
Noise disturbance in Block C hostel at night,hostel
AC is not cooling in Girls Hostel,electrical
Tap is broken in Medical Center corridor,plumbing
Slow internet speed in Auditorium computer lab,wifi
Canal or drainage complaint around Business Block,other
Parking issue near Block D,other
Poor lighting and unsafe path near Library,safety
Fan stopped working in Reading Room room,electrical
Emergency exit blocked near Business Block,safety
No water supply in Hostel 2 hostel block,plumbing
Fire extinguisher missing in Hostel 1 block,safety
Furniture damaged in Reading Room hostel room,hostel
Campus signage missing near Block B,other
Router issue near Engineering Block with no internet access,wifi
Main switch issue reported at Hostel 2,electrical
Water is leaking from the ceiling in Block A,plumbing
The campus WiFi keeps disconnecting in Reading Room,wifi
Short circuit smell near Administrative Block,electrical
Water leakage in Canteen washroom,plumbing
Emergency exit blocked near Girls Hostel,safety
General service request from Business Block,other
Pipe burst near Reading Room building,plumbing
Notice board is outdated at Main Building,other
Internet connection is unstable in Business Block,wifi
AC is not cooling in Boys Hostel,electrical
Laundry service delay at Sports Complex,hostel
Campus signage missing near Block D,other
